time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot,wind_speed
2017-01-01 00:00,2017-01-01 00:00,6.234,0.053,0.0,0.0,1.257,0.0,0.0,0.874,7.871
2017-01-01 01:00,2017-01-01 01:00,6.375,0.052,0.0,0.0,1.255,0.0,0.0,0.966,7.862
2017-01-01 02:00,2017-01-01 02:00,6.569,0.067,0.0,0.0,1.252,0.0,0.0,0.992,8.007
2017-01-01 03:00,2017-01-01 03:00,6.962,0.083,0.0,0.0,1.249,0.0,0.0,0.998,8.422
2017-01-01 04:00,2017-01-01 04:00,7.419,0.124,0.0,0.0,1.244,0.0,0.0,0.998,8.653
2017-01-01 05:00,2017-01-01 05:00,7.742,0.221,0.0,0.0,1.241,0.0,0.0,0.998,8.785
2017-01-01 06:00,2017-01-01 06:00,7.924,0.386,0.0,0.0,1.239,0.0,0.0,0.997,8.424
2017-01-01 07:00,2017-01-01 07:00,7.797,0.556,0.0,0.0,1.239,0.0,0.0,0.997,7.46
2017-01-01 08:00,2017-01-01 08:00,7.247,0.725,0.0,0.0,1.242,2.329,39.477,0.997,6.016
2017-01-01 09:00,2017-01-01 09:00,6.586,0.925,0.0,0.0,1.247,13.127,185.202,0.997,5.133
2017-01-01 10:00,2017-01-01 10:00,5.211,1.067,0.0,0.0,1.256,24.484,298.433,0.997,6.415
2017-01-01 11:00,2017-01-01 11:00,3.75,1.055,0.009,0.001,1.264,33.821,362.091,0.997,8.185
2017-01-01 12:00,2017-01-01 12:00,2.899,0.879,0.012,0.01,1.269,35.591,371.702,0.997,9.479
2017-01-01 13:00,2017-01-01 13:00,2.799,0.6,0.016,0.018,1.27,30.733,326.631,0.997,10.036
2017-01-01 14:00,2017-01-01 14:00,3.105,0.306,0.0,0.017,1.269,23.234,229.975,0.997,10.32
2017-01-01 15:00,2017-01-01 15:00,3.305,0.143,0.0,0.016,1.268,9.864,88.335,0.994,10.438
2017-01-01 16:00,2017-01-01 16:00,3.335,0.09,0.0,0.015,1.268,0.01,0.141,0.994,10.421
2017-01-01 17:00,2017-01-01 17:00,3.356,0.061,0.0,0.014,1.269,0.0,0.0,0.974,10.243
2017-01-01 18:00,2017-01-01 18:00,3.283,0.095,0.0,0.014,1.27,0.0,0.0,0.93,10.154
2017-01-01 19:00,2017-01-01 19:00,3.087,0.042,0.0,0.013,1.272,0.0,0.0,0.826,9.918
2017-01-01 20:00,2017-01-01 20:00,2.605,0.019,0.0,0.013,1.275,0.0,0.0,0.47,9.528
2017-01-01 21:00,2017-01-01 21:00,1.847,0.009,0.0,0.013,1.279,0.0,0.0,0.166,9.032
2017-01-01 22:00,2017-01-01 22:00,1.024,0.004,0.0,0.013,1.284,0.0,0.0,0.213,8.142
2017-01-01 23:00,2017-01-01 23:00,0.568,0.004,0.002,0.013,1.288,0.0,0.0,0.368,7.883
2017-01-02 00:00,2017-01-02 00:00,0.352,0.007,0.005,0.014,1.291,0.0,0.0,0.568,7.646
2017-01-02 01:00,2017-01-02 01:00,0.526,0.009,0.006,0.015,1.292,0.0,0.0,0.518,7.818
2017-01-02 02:00,2017-01-02 02:00,0.415,0.015,0.01,0.015,1.293,0.0,0.0,0.793,7.19
2017-01-02 03:00,2017-01-02 03:00,0.627,0.039,0.014,0.016,1.293,0.0,0.0,0.882,7.17
2017-01-02 04:00,2017-01-02 04:00,0.895,0.052,0.006,0.016,1.292,0.0,0.0,0.863,7.445
2017-01-02 05:00,2017-01-02 05:00,0.951,0.043,0.002,0.015,1.293,0.0,0.0,0.857,7.237
2017-01-02 06:00,2017-01-02 06:00,0.888,0.043,0.002,0.015,1.294,0.0,0.0,0.83,7.063
2017-01-02 07:00,2017-01-02 07:00,0.715,0.042,0.008,0.016,1.295,0.0,0.0,0.767,7.081
2017-01-02 08:00,2017-01-02 08:00,0.501,0.03,0.01,0.017,1.298,8.638,40.718,0.697,7.077
2017-01-02 09:00,2017-01-02 09:00,0.75,0.009,0.005,0.017,1.298,61.991,187.077,0.575,7.044
2017-01-02 10:00,2017-01-02 10:00,1.593,0.001,0.0,0.016,1.295,144.267,300.433,0.268,6.777
2017-01-02 11:00,2017-01-02 11:00,2.602,0.0,0.0,0.015,1.291,230.71,364.1,0.029,6.276
2017-01-02 12:00,2017-01-02 12:00,3.351,0.0,0.0,0.015,1.287,244.285,373.702,0.015,5.775
2017-01-02 13:00,2017-01-02 13:00,3.651,0.0,0.0,0.014,1.285,209.421,328.631,0.013,5.495
2017-01-02 14:00,2017-01-02 14:00,3.393,0.0,0.0,0.014,1.284,135.961,231.962,0.01,5.295
2017-01-02 15:00,2017-01-02 15:00,1.369,0.0,0.0,0.014,1.285,42.564,90.186,0.008,5.409
2017-01-02 16:00,2017-01-02 16:00,-0.48,0.0,0.0,0.014,1.286,0.044,0.207,0.007,5.602
2017-01-02 17:00,2017-01-02 17:00,-0.917,0.0,0.0,0.014,1.288,0.0,0.0,0.01,5.65
2017-01-02 18:00,2017-01-02 18:00,-1.222,0.0,0.0,0.014,1.289,0.0,0.0,0.011,5.627
2017-01-02 19:00,2017-01-02 19:00,-1.43,0.0,0.0,0.014,1.289,0.0,0.0,0.009,5.595
2017-01-02 20:00,2017-01-02 20:00,-1.522,0.0,0.0,0.014,1.29,0.0,0.0,0.007,5.541
2017-01-02 21:00,2017-01-02 21:00,-1.506,0.0,0.0,0.014,1.291,0.0,0.0,0.005,5.355
2017-01-02 22:00,2017-01-02 22:00,-1.498,0.0,0.0,0.014,1.291,0.0,0.0,0.005,5.126
2017-01-02 23:00,2017-01-02 23:00,-1.518,0.0,0.0,0.014,1.292,0.0,0.0,0.01,5.118
2017-01-03 00:00,2017-01-03 00:00,-1.552,0.0,0.0,0.014,1.292,0.0,0.0,0.032,5.284
2017-01-03 01:00,2017-01-03 01:00,-1.536,0.0,0.0,0.014,1.292,0.0,0.0,0.058,5.482
2017-01-03 02:00,2017-01-03 02:00,-1.451,0.0,0.0,0.014,1.292,0.0,0.0,0.089,5.573
2017-01-03 03:00,2017-01-03 03:00,-1.258,0.001,0.001,0.014,1.292,0.0,0.0,0.116,5.656
2017-01-03 04:00,2017-01-03 04:00,-1.024,0.002,0.002,0.015,1.29,0.0,0.0,0.145,5.716
2017-01-03 05:00,2017-01-03 05:00,-0.729,0.003,0.002,0.015,1.289,0.0,0.0,0.184,5.718
2017-01-03 06:00,2017-01-03 06:00,-0.396,0.004,0.002,0.015,1.287,0.0,0.0,0.239,5.719
2017-01-03 07:00,2017-01-03 07:00,-0.079,0.005,0.002,0.016,1.285,0.0,0.0,0.271,5.761
2017-01-03 08:00,2017-01-03 08:00,0.335,0.004,0.002,0.016,1.284,13.81,42.075,0.273,5.92
2017-01-03 09:00,2017-01-03 09:00,2.075,0.002,0.0,0.016,1.282,83.582,189.14,0.256,6.073
2017-01-03 10:00,2017-01-03 10:00,4.021,0.001,0.0,0.016,1.279,162.329,302.558,0.24,5.944
