# Renewables.ninja Weather (Point API) - 51.454, -2.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/London, t2m in ºC, prectotland in mm/h, precsnoland in mm/h, snomas in kg/m², rhoa in kg/m³, swgdn in W/m², swtdn in W/m², cldtot in fraction
# {"units": {"time": "UTC", "local_time": "Europe/London", "t2m": "\u00baC", "prectotland": "mm/h", "precsnoland": "mm/h", "snomas": "kg/m\u00b2", "rhoa": "kg/m\u00b3", "swgdn": "W/m\u00b2", "swtdn": "W/m\u00b2", "cldtot": "fraction"}, "params": {"local_time": "true", "header": "true", "lat": "51.4538022", "lon": "-2.5972985", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": "true", "var_prectotland": "true", "var_precsnoland": "true", "var_snomas": "true", "var_rhoa": "true", "var_swgdn": "true", "var_swtdn": "true", "var_cldtot": "true"}}
time,local_time,t2m,prectotland,precsnoland,snomas,rhoa,swgdn,swtdn,cldtot
2019-01-01 00:00,2019-01-01 00:00,5.647,0.004,0,0,1.269,0,0,0.488
2019-01-01 01:00,2019-01-01 01:00,6.029,0.007,0,0,1.269,0,0,0.569
2019-01-01 02:00,2019-01-01 02:00,5.996,0.008,0,0,1.270,0,0,0.588
2019-01-01 03:00,2019-01-01 03:00,5.954,0.006,0,0,1.270,0,0,0.647
2019-01-01 04:00,2019-01-01 04:00,5.989,0.004,0,0,1.270,0,0,0.686
2019-01-01 05:00,2019-01-01 05:00,5.968,0.002,0,0,1.269,0,0,0.676
2019-01-01 06:00,2019-01-01 06:00,6.099,0.002,0,0,1.269,0,0,0.724
2019-01-01 07:00,2019-01-01 07:00,6.416,0.005,0,0,1.269,0,0,0.821
2019-01-01 08:00,2019-01-01 08:00,6.976,0.007,0,0,1.269,4.565,38.913,0.885
2019-01-01 09:00,2019-01-01 09:00,7.556,0.007,0,0,1.269,27.008,184.265,0.899
2019-01-01 10:00,2019-01-01 10:00,7.983,0.008,0,0,1.268,47.511,297.556,0.899
2019-01-01 11:00,2019-01-01 11:00,8.348,0.008,0,0,1.266,63.083,361.100,0.875
2019-01-01 12:00,2019-01-01 12:00,8.719,0.007,0,0,1.264,79.738,370.702,0.819
2019-01-01 13:00,2019-01-01 13:00,8.922,0.007,0,0,1.263,73.074,325.631,0.752
2019-01-01 14:00,2019-01-01 14:00,8.873,0.008,0,0,1.262,49.692,229.033,0.713
2019-01-01 15:00,2019-01-01 15:00,8.355,0.007,0,0,1.263,14.327,87.459,0.741
2019-01-01 16:00,2019-01-01 16:00,7.853,0.004,0,0,1.264,0.006,0.113,0.671
2019-01-01 17:00,2019-01-01 17:00,7.327,0.002,0,0,1.266,0,0,0.464
2019-01-01 18:00,2019-01-01 18:00,6.479,0.002,0,0,1.271,0,0,0.330
2019-01-01 19:00,2019-01-01 19:00,5.096,0.001,0,0,1.278,0,0,0.093
2019-01-01 20:00,2019-01-01 20:00,3.707,0,0,0,1.285,0,0,0.139
2019-01-01 21:00,2019-01-01 21:00,3.011,0,0,0,1.290,0,0,0.380
